SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Drymophila klagesi,Klages's Antbird,klaant2,species,13271.0,KLAN,DRKL,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Drymophila hellmayri,Santa Marta Antbird,samant2,species,13272.0,SMAN,DRHE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Drymophila striaticeps,Streak-headed Antbird,sthant1,species,13273.0,SHAN,DRST,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Drymophila sp.,Drymophila sp.,drymop1,spuh,13278.0,,,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemis cantator,Guianan Warbling-Antbird,guiwaa1,species,13279.0,GWAN GUWA GUAN,HYCA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemis flavescens,Imeri Warbling-Antbird,imewaa1,species,13280.0,IMWA IWAN IMAN,HYFL,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemis peruviana,Peruvian Warbling-Antbird,perwaa1,species,13281.0,PWAN PEWA PEAN,HYPE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemis subflava,Yellow-breasted Warbling-Antbird,yebwaa1,species,13284.0,YBWA YBAN,HYSU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemis ochrogyna,Rondonia Warbling-Antbird,ronwaa1,species,13287.0,ROAN RWAN ROWA,HYOC,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemis striata,Spix's Warbling-Antbird,spiwaa1,species,13288.0,SPAN SPWA SWAN,HYST,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemis ochrogyna x striata,Rondonia x Spix's Warbling-Antbird (hybrid),x00407,hybrid,13292.0,ROWA SPWA RWAN SPAN ROAN SWAN,HYST HYOC,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemis rondoni,Manicore Warbling-Antbird,manwaa1,species,13293.0,MAWA MAAN MWAN,HYRO,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemis sp. (warbling-antbird sp.),warbling-antbird sp.,warant1,spuh,13294.0,,,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemis hypoxantha,Yellow-browed Antbird,yebant3,species,13295.0,YBAN,HYHY,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Terenura sicki,Orange-bellied Antwren,orbant1,species,13298.0,OBAN,TESI,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Terenura maculata,Streak-capped Antwren,stcant3,species,13299.0,SCAN,TEMA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacroides laeta,Willis's Antbird,wilant1,species,13300.0,WIAN,CELA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacroides parkeri,Parker's Antbird,parant2,species,13304.0,PAAN,CEPA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacroides tyrannina,Dusky Antbird,dusant1,species,13305.0,,CETY,DUAN,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacroides tyrannina tyrannina/crepera,Dusky Antbird (tyrannina/crepera),dusant2,issf,13306.0,DA DUAN,CETY,,Passeriformes,Typical Antbirds,Thamnophilidae,dusant1,,,thamno3
Cercomacroides tyrannina saturatior/vicina,Dusky Antbird (saturatior/vicina),dusant3,issf,13309.0,DA DUAN,CETY,,Passeriformes,Typical Antbirds,Thamnophilidae,dusant1,,,thamno3
Cercomacroides serva,Black Antbird,blaant2,species,13312.0,BLAN,CESE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacroides nigrescens,Blackish Antbird,blaant4,species,13313.0,BLAN,CENI,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacroides fuscicauda,Riparian Antbird,blaant5,species,13319.0,RIAN,CEFU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacroides nigrescens/fuscicauda,Blackish/Riparian Antbird,y00967,slash,13320.0,BLAN RIAN,CENI CEFU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacroides sp.,Cercomacroides sp.,cercom1,spuh,13321.0,,,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacra manu,Manu Antbird,manant1,species,13322.0,MAAN,CEMA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacra cinerascens,Gray Antbird,gryant2,species,13323.0,GRAN,CECI,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacra brasiliana,Rio de Janeiro Antbird,rdjant1,species,13328.0,RDJA,CEBR,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacra melanaria,Mato Grosso Antbird,magant1,species,13329.0,MGAN,CEME,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacra ferdinandi,Bananal Antbird,banant1,species,13330.0,BAAN,CEFE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacra nigricans,Jet Antbird,jetant1,species,13331.0,,CENI,JEAN,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Cercomacra carbonaria,Rio Branco Antbird,ribant1,species,13332.0,RBAN,CECA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Pyriglena maura,Western Fire-eye,wesfie1,species,13333.0,WEFE WFEY,PYMA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Pyriglena maura pacifica,Western Fire-eye (Pacific),whbfie1,issf,13334.0,WEFE WFEY WFE,PYMA,,Passeriformes,Typical Antbirds,Thamnophilidae,wesfie1,,,thamno3
Pyriglena maura castanoptera,Western Fire-eye (Black-bellied),whbfie2,issf,13335.0,WEFE WFE WFEY,PYMA,,Passeriformes,Typical Antbirds,Thamnophilidae,wesfie1,,,thamno3
Pyriglena maura picea,Western Fire-eye (Black-headed),whbfie3,issf,13336.0,WEFE WFEY WFE,PYMA,,Passeriformes,Typical Antbirds,Thamnophilidae,wesfie1,,,thamno3
Pyriglena maura [maura Group],Western Fire-eye (maura Group),wesfie2,issf,13337.0,WEFE WFEY WFE,PYMA,,Passeriformes,Typical Antbirds,Thamnophilidae,wesfie1,,,thamno3
Pyriglena similis,Tapajos Fire-eye,whbfie9,species,13341.0,TFEY TAFE,PYSI,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Pyriglena leuconota,East Amazonian Fire-eye,eaafie1,species,13342.0,EAFE,PYLE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Pyriglena atra,Fringe-backed Fire-eye,fbfeye1,species,13346.0,FBFE,PYAT,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Pyriglena leucoptera,White-shouldered Fire-eye,wsfeye1,species,13347.0,WSFE,PYLE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Rhopornis ardesiacus,Slender Antbird,sleant1,species,13348.0,SLAN,RHAR,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmoborus leucophrys,White-browed Antbird,whbant6,species,13349.0,WBAN,MYLE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmoborus lugubris,Ash-breasted Antbird,asbant1,species,13354.0,ABAN,MYLU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmoborus myotherinus,Black-faced Antbird,blfant2,species,13359.0,BFAN,MYMY,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmoborus melanurus,Black-tailed Antbird,bltant1,species,13367.0,BTAN,MYME,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmoborus lophotes,White-lined Antbird,whlant1,species,13368.0,WLAN,MYLO,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemoides melanopogon,Black-chinned Antbird,blcant3,species,13369.0,BCAN,HYME,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hypocnemoides maculicauda,Band-tailed Antbird,batant1,species,13372.0,BTAN,HYMA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmochanes hemileucus,Black-and-white Antbird,bawant1,species,13373.0,BAWA,MYHE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Gymnocichla nudiceps,Bare-crowned Antbird,bacant1,species,13374.0,BCAN,GYNU,BACA,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Sclateria naevia,Silvered Antbird,silant1,species,13379.0,SIAN,SCNA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Percnostola rufifrons,Black-headed Antbird,blhant3,species,13384.0,BHAN,PERU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Percnostola rufifrons minor/jensoni,Black-headed Antbird (Amazonas),bkhant1,issf,13385.0,BHAN BHA,PERU,,Passeriformes,Typical Antbirds,Thamnophilidae,blhant3,,,thamno3
Percnostola rufifrons rufifrons/subcristata,Black-headed Antbird (Hellmayr's),bkhant2,issf,13388.0,BHAN BHA,PERU,,Passeriformes,Typical Antbirds,Thamnophilidae,blhant3,,,thamno3
Percnostola arenarum,Allpahuayo Antbird,allant1,species,13391.0,ALAN,PEAR,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmelastes schistaceus,Slate-colored Antbird,slcant3,species,13392.0,SCAN,MYSC,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmelastes saturatus,Roraiman Antbird,rorant2,species,13393.0,ROAN,MYSA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmelastes hyperythrus,Plumbeous Antbird,pluant1,species,13396.0,PLAN,MYHY,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmelastes leucostigma,Spot-winged Antbird,spwant3,species,13397.0,SWAN,MYLE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmelastes humaythae,Humaita Antbird,humant1,species,13402.0,HUAN,MYHU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmelastes brunneiceps,Brownish-headed Antbird,brhant1,species,13403.0,BHAN,MYBR,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmelastes rufifacies,Rufous-faced Antbird,rufant4,species,13404.0,RFAN,MYRU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmelastes caurensis,Caura Antbird,cauant2,species,13405.0,CAAN,MYCA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmelastes sp.,Myrmelastes sp.,schist1,spuh,13408.0,,,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmeciza longipes,White-bellied Antbird,whbant1,species,13409.0,WBAN,MYLO,WBEA,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Poliocrania exsul,Chestnut-backed Antbird,chbant1,species,13414.0,CBTA,POEX,CBAN,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Poliocrania exsul [exsul Group],Chestnut-backed Antbird (Chestnut-backed),chbant3,issf,13415.0,CBAN CBA CBTA,POEX,,Passeriformes,Typical Antbirds,Thamnophilidae,chbant1,,,thamno3
Poliocrania exsul maculifer/cassini,Chestnut-backed Antbird (Short-tailed),chbant4,issf,13419.0,CBAN CBA CBTA,POEX,,Passeriformes,Typical Antbirds,Thamnophilidae,chbant1,,,thamno3
Ampelornis griseiceps,Gray-headed Antbird,gyhant1,species,13422.0,GHAN,AMGR,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Sipia laemosticta,Dull-mantled Antbird,dumant1,species,13423.0,,SILA,DMAN,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Sipia palliata,Magdalena Antbird,dumant3,species,13424.0,MAAN,SIPA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Sipia nigricauda,Esmeraldas Antbird,esmant1,species,13425.0,ESAN,SINI,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Sipia berlepschi,Stub-tailed Antbird,sttant3,species,13426.0,STAN,SIBE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Sciaphylax hemimelaena,Chestnut-tailed Antbird,chtant2,species,13427.0,CTAN SCTA,SCHE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Sciaphylax hemimelaena hemimelaena,Chestnut-tailed Antbird (hemimelaena),chtant3,issf,13428.0,CTAN SCTA,SCHE,,Passeriformes,Typical Antbirds,Thamnophilidae,chtant2,,,thamno3
Sciaphylax hemimelaena pallens,Chestnut-tailed Antbird (pallens),chtant4,issf,13429.0,CTAN SCTA,SCHE,,Passeriformes,Typical Antbirds,Thamnophilidae,chtant2,,,thamno3
Sciaphylax [undescribed form],Aripuana Antbird (undescribed form),ariant1,form,13430.0,AA,,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Sciaphylax castanea,Zimmer's Antbird,zimant1,species,13431.0,ZIAN NCTA,SCCA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Sciaphylax hemimelaena/castanea,Chestnut-tailed/Zimmer's Antbird,y00690,slash,13434.0,CTAN SCTA NCTA ZIAN,SCCA SCHE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmoderus ferrugineus,Ferruginous-backed Antbird,febant1,species,13435.0,FBAN,MYFE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmoderus eowilsoni,Cordillera Azul Antbird,whiant1,species,13438.0,CAAN,MYEO,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmoderus ruficauda,Scalloped Antbird,scaant3,species,13439.0,SCAN,MYRU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmoderus loricatus,White-bibbed Antbird,whbant4,species,13442.0,WBAN,MYLO,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmoderus squamosus,Squamate Antbird,squant1,species,13443.0,SQAN,MYSQ,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Akletos melanoceps,White-shouldered Antbird,whsant1,species,13444.0,WSAN,AKME,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Akletos goeldii,Goeldi's Antbird,goeant1,species,13445.0,GOAN,AKGO,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hafferia fortis,Sooty Antbird,sooant1,species,13446.0,SOAN,HAFO,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hafferia zeledoni,Zeledon's Antbird,zelant1,species,13449.0,,HAZE,ZEAN,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hafferia zeledoni zeledoni,Zeledon's Antbird (Zeledon's),immant5,issf,13450.0,ZEAN ZA,HAZE,,Passeriformes,Typical Antbirds,Thamnophilidae,zelant1,,,thamno3
Hafferia zeledoni berlepschi,Zeledon's Antbird (Choco),immant4,issf,13451.0,ZEAN ZA,HAZE,,Passeriformes,Typical Antbirds,Thamnophilidae,zelant1,,,thamno3
Hafferia immaculata,Blue-lored Antbird,immant1,species,13452.0,BLAN,HAIM,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hafferia immaculata immaculata,Blue-lored Antbird (Andean),immant3,issf,13453.0,BLAN BLA,HAIM,,Passeriformes,Typical Antbirds,Thamnophilidae,immant1,,,thamno3
Hafferia immaculata concepcion,Blue-lored Antbird (Concepcion),immant2,issf,13454.0,BLAN BLA,HAIM,,Passeriformes,Typical Antbirds,Thamnophilidae,immant1,,,thamno3
Aprositornis disjuncta,Yapacana Antbird,yapant1,species,13455.0,YAAN,APDI,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmophylax atrothorax,Black-throated Antbird,bltant2,species,13456.0,BTAN,MYAT,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Ammonastes pelzelni,Gray-bellied Antbird,gybant1,species,13462.0,GBAN,AMPE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmornis torquata,Wing-banded Antbird,wibant1,species,13463.0,WBAN SWBA,MYTO,WBAA,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Myrmornis torquata stictoptera,Wing-banded Antbird (Buff-banded),wibant2,issf,13464.0,WBAN WBAA SWBA WBA,MYTO,,Passeriformes,Typical Antbirds,Thamnophilidae,wibant1,,,thamno3
Myrmornis torquata torquata,Wing-banded Antbird (Wing-banded),wibant3,issf,13465.0,WBAN WBAA SWBA WBA,MYTO,,Passeriformes,Typical Antbirds,Thamnophilidae,wibant1,,,thamno3
Pithys albifrons,White-plumed Antbird,whpant1,species,13466.0,WPAN,PIAL,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Pithys castaneus,White-masked Antbird,whmant2,species,13469.0,WMAN,PICA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Gymnopithys bicolor,Bicolored Antbird,bicant2,species,13470.0,,GYBI,BIAN,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Gymnopithys leucaspis,White-cheeked Antbird,whcant1,species,13476.0,WCAN,GYLE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Gymnopithys rufigula,Rufous-throated Antbird,rutant4,species,13481.0,RTAN,GYRU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Oneillornis salvini,White-throated Antbird,whtant1,species,13485.0,WTAN,ONSA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Oneillornis lunulatus,Lunulated Antbird,lunant2,species,13486.0,LUAN,ONLU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Rhegmatorhina gymnops,Bare-eyed Antbird,baeant1,species,13487.0,BEAN,RHGY,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Rhegmatorhina berlepschi,Harlequin Antbird,harant1,species,13488.0,HAAN,RHBE,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Rhegmatorhina hoffmannsi,White-breasted Antbird,whbant5,species,13489.0,WBAN,RHHO,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Rhegmatorhina cristata,Chestnut-crested Antbird,chcant1,species,13490.0,CCAN,RHCR,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Rhegmatorhina melanosticta,Hairy-crested Antbird,hacant1,species,13491.0,HCAN,RHME,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hylophylax naevioides,Spotted Antbird,spoant1,species,13495.0,,HYNA,SPAN,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hylophylax naevius,Spot-backed Antbird,spbant6,species,13498.0,SBAN,HYNA,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Hylophylax punctulatus,Dot-backed Antbird,dobant2,species,13504.0,DBAN,HYPU,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Willisornis poecilinotus,Common Scale-backed Antbird,scbant3,species,13505.0,CSBA,WIPO,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Willisornis poecilinotus poecilinotus,Common Scale-backed Antbird (Common Scale-backed),scbant7,issf,13506.0,CSBA,WIPO,,Passeriformes,Typical Antbirds,Thamnophilidae,scbant3,,,thamno3
Willisornis poecilinotus lepidonota/duidae,Common Scale-backed Antbird (Buff-breasted),scbant6,issf,13507.0,CSBA,WIPO,,Passeriformes,Typical Antbirds,Thamnophilidae,scbant3,,,thamno3
Willisornis poecilinotus gutturalis,Common Scale-backed Antbird (Black-bibbed),scbant5,issf,13510.0,CSBA,WIPO,,Passeriformes,Typical Antbirds,Thamnophilidae,scbant3,,,thamno3
Willisornis poecilinotus griseiventris,Common Scale-backed Antbird (Gray-breasted),scbant4,issf,13511.0,CSBA,WIPO,,Passeriformes,Typical Antbirds,Thamnophilidae,scbant3,,,thamno3
Willisornis vidua,Xingu Scale-backed Antbird,scbant8,species,13512.0,XSBA,WIVI,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Willisornis vidua nigrigula,Xingu Scale-backed Antbird (Tapajos),scbant1,issf,13513.0,XSBA,WIVI,,Passeriformes,Typical Antbirds,Thamnophilidae,scbant8,,,thamno3
Willisornis vidua vidua,Xingu Scale-backed Antbird (Xingu),xsbant1,issf,13514.0,XSBA,WIVI,,Passeriformes,Typical Antbirds,Thamnophilidae,scbant8,,,thamno3
Thamnophilidae sp. (antbird sp.),antbird sp.,antbir1,spuh,13515.0,,,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Phlegopsis nigromaculata,Black-spotted Bare-eye,bsbeye1,species,13516.0,BSBE,PHNI,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Phlegopsis erythroptera,Reddish-winged Bare-eye,rwbeye1,species,13521.0,RWBE,PHER,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Phlegopsis borbae,Pale-faced Bare-eye,pafant1,species,13524.0,PFBE,PHBO,,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Phaenostictus mcleannani,Ocellated Antbird,oceant1,species,13525.0,,PHMC,OCAN,Passeriformes,Typical Antbirds,Thamnophilidae,,,,thamno3
Melanopareia torquata,Collared Crescentchest,colcre1,species,13529.0,COCR CCCR,METO,,Passeriformes,Crescentchests,Melanopareiidae,,,,melano2
Melanopareia torquata bitorquata,Collared Crescentchest (Double-collared),colcre2,issf,13530.0,CCCR COCR DCCR,METO,,Passeriformes,Crescentchests,Melanopareiidae,colcre1,,,melano2
Melanopareia torquata torquata/rufescens,Collared Crescentchest (Collared),colcre3,issf,13531.0,CCCR COCR,METO,,Passeriformes,Crescentchests,Melanopareiidae,colcre1,,,melano2
Melanopareia maximiliani,Olive-crowned Crescentchest,olccre1,species,13534.0,OCCR,MEMA,,Passeriformes,Crescentchests,Melanopareiidae,,,,melano2
Melanopareia maranonica,Marañon Crescentchest,marcre1,species,13538.0,MACR,MEMA,,Passeriformes,Crescentchests,Melanopareiidae,,,,melano2
Melanopareia elegans,Elegant Crescentchest,elecre1,species,13539.0,ELCR,MEEL,,Passeriformes,Crescentchests,Melanopareiidae,,,,melano2
Pittasoma michleri,Black-crowned Antpitta,blcant1,species,13542.0,BCAN BCPI,PIMI,BCAP,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Pittasoma rufopileatum,Rufous-crowned Antpitta,rucant3,species,13545.0,RCAN RCPI,PIRU,,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Conopophaga melanogaster,Black-bellied Gnateater,blbgna1,species,13549.0,BBGN,COME,,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Conopophaga melanops,Black-cheeked Gnateater,blcgna1,species,13550.0,BCGN,COME,,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Conopophaga aurita,Chestnut-belted Gnateater,chbgna1,species,13554.0,CBGN CBBG,COAU,,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Conopophaga aurita [aurita Group],Chestnut-belted Gnateater (Chestnut-belted),chbgna2,issf,13555.0,CBG CBGN CBBG,COAU,,Passeriformes,Gnateaters,Conopophagidae,chbgna1,,,conopo1
Conopophaga aurita snethlageae/pallida,Chestnut-belted Gnateater (Snethlage's),chbgna3,issf,13560.0,CBG CBGN CBBG,COAU,,Passeriformes,Gnateaters,Conopophagidae,chbgna1,,,conopo1
Conopophaga peruviana,Ash-throated Gnateater,astgna1,species,13563.0,ATGN,COPE,,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Conopophaga cearae,Ceara Gnateater,rufgna2,species,13564.0,CEGN,COCE,,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Conopophaga roberti,Hooded Gnateater,hoogna1,species,13565.0,HOGN,CORO,,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Conopophaga lineata,Rufous Gnateater,rufgna3,species,13566.0,RUGN,COLI,,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Conopophaga castaneiceps,Chestnut-crowned Gnateater,chcgna1,species,13569.0,CCGN,COCA,,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Conopophaga ardesiaca,Slaty Gnateater,slagna1,species,13574.0,SLGN,COAR,,Passeriformes,Gnateaters,Conopophagidae,,,,conopo1
Grallaria squamigera,Undulated Antpitta,undant1,species,13577.0,UNAN,GRSQ,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria gigantea,Giant Antpitta,giaant1,species,13580.0,GIAN,GRGI,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria excelsa,Great Antpitta,greant2,species,13584.0,GRAN,GREX,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria varia,Variegated Antpitta,varant2,species,13587.0,VAAN,GRVA,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria alleni,Moustached Antpitta,mouant1,species,13593.0,MOAN,GRAL,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria guatimalensis,Scaled Antpitta,scaant1,species,13596.0,SCAN,GRGU,SCAA,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria guatimalensis [guatimalensis Group],Scaled Antpitta (guatimalensis Group),scaant4,issf,13597.0,SCAA SA SCAN,GRGU,,Passeriformes,Antpittas,Grallariidae,scaant1,,,gralla2
Grallaria guatimalensis princeps/chocoensis,Scaled Antpitta (princeps/chocoensis),scaant5,issf,13601.0,SCAA SA SCAN,GRGU,,Passeriformes,Antpittas,Grallariidae,scaant1,,,gralla2
Grallaria guatimalensis aripoensis,Scaled Antpitta (aripoensis),scaant6,issf,13604.0,SCAA SA SCAN,GRGU,,Passeriformes,Antpittas,Grallariidae,scaant1,,,gralla2
Grallaria guatimalensis roraimae,Scaled Antpitta (roraimae),scaant7,issf,13605.0,SA SCAA SCAN,GRGU,,Passeriformes,Antpittas,Grallariidae,scaant1,,,gralla2
Grallaria guatimalensis regulus/carmelitae,Scaled Antpitta (regulus/carmelitae),scaant8,issf,13606.0,SCAA SA SCAN,GRGU,,Passeriformes,Antpittas,Grallariidae,scaant1,,,gralla2
Grallaria guatimalensis sororia,Scaled Antpitta (sororia),scaant9,issf,13609.0,SA SCAA SCAN,GRGU,,Passeriformes,Antpittas,Grallariidae,scaant1,,,gralla2
Grallaria chthonia,Tachira Antpitta,tacant1,species,13610.0,TAAN,GRCH,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria haplonota,Plain-backed Antpitta,plbant1,species,13611.0,PBAN,GRHA,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria dignissima,Ochre-striped Antpitta,ocsant1,species,13616.0,OSAN,GRDI,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria eludens,Elusive Antpitta,eluant1,species,13617.0,ELAN,GREL,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria ruficapilla,Chestnut-crowned Antpitta,chcant2,species,13618.0,CCAN,GRRU,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
Grallaria watkinsi,Watkins's Antpitta,watant1,species,13626.0,WAAN,GRWA,,Passeriformes,Antpittas,Grallariidae,,,,gralla2
